27,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
27,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
28,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
28,[0.6455495  0.93040884 0.5333809  0.8005645  0.6018163 ]
28,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
29,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
29,[0.60732    0.9300776  0.7861413  0.7852496  0.52803314]
29,ランダムで動きました
30,ランダムで動きました
30,[0.56410414 0.8997111  0.493136   0.7090988  0.5463308 ]
30,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
31,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
31,ランダムで動きました
31,ランダムで動きました
32,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
32,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
35,ランダムで動きました
35,ランダムで動きました
35,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
36,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
36,[0.40350604 0.8860071  0.56960547 0.51543266 0.56262934]
36,ランダムで動きました
38,ランダムで動きました
38,ランダムで動きました
38,ランダムで動きました
40,ランダムで動きました
40,[0.5657733  0.90750444 0.5473431  0.86447656 0.8027101 ]
40,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
42,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
42,ランダムで動きました
43,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
43,[0.6111199  0.88908863 0.4774036  0.7270416  0.61768013]
43,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
46,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
46,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
47,ランダムで動きました
47,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
49,ランダムで動きました
49,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
52,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
52,ランダムで動きました
52,ランダムで動きました
53,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
53,[0.57247597 0.9390763  0.7423421  0.74681866 0.5650935 ]
53,ランダムで動きました
55,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
55,ランダムで動きました
55,ランダムで動きました
56,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
56,ランダムで動きました
56,ランダムで動きました
60,ランダムで動きました
60,ランダムで動きました
60,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
61,ランダムで動きました
61,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
62,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
62,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
63,ランダムで動きました
63,[0.4836785  0.91869617 0.61535114 0.8598887  0.41351905]
63,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
64,ランダムで動きました
64,[0.64993274 0.90145797 0.44264024 0.71859664 0.6040381 ]
64,ランダムで動きました
65,ランダムで動きました
65,[0.53808993 0.85606843 0.5573243  0.49539572 0.63066614]
65,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
66,ランダムで動きました
66,ランダムで動きました
66,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
69,ランダムで動きました
69,[0.53152514 0.87360287 0.5721172  0.55798715 0.60861444]
69,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
70,ランダムで動きました
70,ランダムで動きました
73,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
73,ランダムで動きました
73,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
74,ランダムで動きました
74,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
76,ランダムで動きました
76,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
79,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
79,ランダムで動きました
79,ランダムで動きました
80,ランダムで動きました
80,[0.5784247  0.9428124  0.5937968  0.793565   0.58510447]
80,ランダムで動きました
82,ランダムで動きました
82,[0.5767883  0.88421434 0.49387318 0.71869606 0.59189564]
82,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
83,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
83,[0.61098504 0.9268144  0.7774049  0.7561348  0.5698351 ]
83,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
84,ランダムで動きました
84,[0.6599456  0.9578456  0.47325316 0.7721017  0.62985456]
84,ランダムで動きました
85,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
85,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
86,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
86,[0.6196465  0.90164304 0.5500378  0.71233946 0.58570105]
86,ランダムで動きました
89,ランダムで動きました
89,[0.33922595 0.8528728  0.5954322  0.53134954 0.45070297]
89,ランダムで動きました
90,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
90,[0.5553057  0.94469    0.80202997 0.7735398  0.47261629]
90,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
92,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
92,[0.6379063  0.9164147  0.6038611  0.7385704  0.66646403]
92,ランダムで動きました
93,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
93,[0.639659   0.92438847 0.48018494 0.759141   0.6657013 ]
93,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
94,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
94,[0.6421353  0.9320831  0.44546932 0.80005753 0.70250076]
94,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
99,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
99,ランダムで動きました
99,ランダムで動きました
100,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
100,ランダムで動きました
101,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
101,ランダムで動きました
101,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
102,ランダムで動きました
102,[0.63330185 0.8908985  0.6606438  0.66633636 0.6530416 ]
102,ランダムで動きました
103,ランダムで動きました
103,[0.5722194 0.925407  0.6168982 0.7634304 0.7064847]
103,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
106,ランダムで動きました
106,ランダムで動きました
106,ランダムで動きました
107,ランダムで動きました
107,ランダムで動きました
107,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
108,ランダムで動きました
108,[0.59157693 0.9303551  0.58114916 0.7622354  0.5698154 ]
108,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
110,ランダムで動きました
110,ランダムで動きました
110,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
111,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
111,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
113,ランダムで動きました
113,ランダムで動きました
116,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
116,[0.5906491  0.8918917  0.549799   0.6999668  0.63466054]
116,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
119,ランダムで動きました
119,[0.44012463 0.8735862  0.5234091  0.51538706 0.6636524 ]
119,ランダムで動きました
120,ランダムで動きました
120,ランダムで動きました
120,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
124,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
124,ランダムで動きました
124,ランダムで動きました
125,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
125,[0.67007643 0.9436149  0.50364906 0.803896   0.5918939 ]
125,ランダムで動きました
127,ランダムで動きました
127,[0.49848646 0.5192468  0.51167595 0.50530154 0.516145  ]
128,[0.5014613  0.5409508  0.50779873 0.5174455  0.516916  ]
128,[0.49848646 0.5192468  0.51167595 0.50530154 0.516145  ]
130,ランダムで動きました
130,ランダムで動きました
130,[0.49639037 0.5370246  0.5230101  0.50971866 0.5312748 ]
132,ランダムで動きました
132,[0.49499506 0.9410567  0.7858583  0.73573047 0.5135303 ]
132,ランダムで動きました
134,ランダムで動きました
134,ランダムで動きました
134,ランダムで動きました
135,ランダムで動きました
135,[0.6330508  0.9024647  0.54330444 0.7576123  0.60889244]
135,ランダムで動きました
136,[0.5016903  0.54487205 0.52187043 0.51501423 0.5270548 ]
136,ランダムで動きました
136,[0.49569026 0.53530097 0.52259696 0.5086416  0.5301179 ]
139,ランダムで動きました
